,iML1515 metabolite ID,Metabolite name,Membrane,Direction,Transport type,iML1515 transport reaction ID,Genes
791,pydx,Pyridoxal,inner,Import,Diffusion,PYDXtpp,
792,23doguln,"2,3-Dioxo-L-gulonate",inner,Import,Sodium symport,23DOGULNt4pp,"b3579, b3578, b3577"
793,pydxn,Pyridoxine,inner,Import,Diffusion,PYDXNtpp,
794,pydxn,Pyridoxine,outer,Import and Export,Diffusion,PYDXNtex,"b1377, b0241, b0929, b2215"
795,pydam,Pyridoxamine,inner,Import,Diffusion,PYDAMtpp,
796,pydam,Pyridoxamine,outer,Import and Export,Diffusion,PYDAMtex,"b1377, b0241, b0929, b2215"
797,psuri,Pseudouridine,outer,Import and Export,Diffusion,PSURItex,"b1377, b0241, b0929, b2215"
798,psuri,Pseudouridine,inner,Import,Diffusion,PSURItpp,b2164
799,chtbs,"N,N'-diacetylchitobiose",outer,Import and Export,Diffusion,CHTBStex,"b1377, b0241, b0929, b0681, b2215"
800,chtbs,"N,N'-diacetylchitobiose",inner,Import,PEP group translocation,CHTBSptspp,"b1736, b1738, b2415, b1737, b2416"
801,mththf,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran",inner,Import,ATP-binding cassette transporter,AI2abcpp,"b1514, b1516, b1515, b1513"
802,mththf,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran",outer,Import and Export,Diffusion,AI2tex,"b1377, b0241, b0929, b2215"
803,mththf,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran",inner,Export,Diffusion,AI2tpp,b1601
804,f,Fluoride,inner,Export,Diffusion,Ftpp,b0624
805,f,Fluoride,outer,Import and Export,Diffusion,Ftex,"b1377, b0929, b2215, b0241"
806,dhps,"2,3-Dihydroxypropane-1-sulfonate",outer,Import and Export,Diffusion,DHPStex,b3875
807,dhps,"2,3-Dihydroxypropane-1-sulfonate",inner,Export,Diffusion,DHPStr,b3877
808,sq,Sulphoquinovose,inner,Import,Diffusion,SQtr,b3876
809,sq,Sulphoquinovose,outer,Import and Export,Diffusion,SQtex,b3875
810,fmn,FMN C17H19N4O9P,outer,Import and Export,Diffusion,FMNtex,"b1377, b0241, b0929, b2215"
811,fmn,FMN C17H19N4O9P,inner,Export,Diffusion,FMNt,b1985
812,quin,Quinate,outer,Import and Export,Diffusion,QUIN2tex,"b1377, b0929, b2215, b0241"
813,quin,Quinate,inner,Import and Export,Diffusion,QUIN2tpp,
814,cholate,Cholate c,inner,Export,Proton antiport,CHOLATEtpp,b4337
815,4abzglu,4-aminobenzoyl-glutamate,outer,Import and Export,Diffusion,4ABZGLUtex,"b1377, b0929, b2215, b0241"
816,4abzglu,4-aminobenzoyl-glutamate,inner,Import and Export,Proton symport,4ABZGLUtr,b1336
817,cysi__L,L Cystine C6H12N2O4S2,inner,Export,Diffusion,CYSItpp,b3943
818,cysi__L,L Cystine C6H12N2O4S2,outer,Import and Export,Diffusion,CYSItex,"b1377, b0241, b0929, b2215"
819,fad,Flavin adenine dinucleotide oxidized,outer,Import and Export,Diffusion,FADtex,"b1377, b0929, b2215, b0241"
820,fad,Flavin adenine dinucleotide oxidized,inner,Export,Diffusion,FADt,b1985
821,puacgam,"Poly-?-1,6-N-acetyl-D-glucosamine",inner,Export,Diffusion,PUACGAMtr,"b1022, b1021"
822,4hbz,4-Hydroxybenzoate,inner,Export,Proton antiport,4HBZt3pp,"b3240, b3241"
823,urate,Urate C5H4N4O3,outer,Import and Export,Diffusion,URATEtex,"b1377, b0929, b2215, b0241"
824,urate,Urate C5H4N4O3,inner,Import,Proton symport,URATEtpp,b2888
825,metglcur,1-O-methyl-Beta-D-glucuronate,inner,Import,Proton symport,METGLCURt2pp,b1616
826,metglcur,1-O-methyl-Beta-D-glucuronate,outer,Import and Export,Diffusion,METGLCURtex,"b1377, b0929, b2215, b0241"
827,cs1,Cesium ion,outer,Import and Export,Diffusion,CS1tex,"b1377, b0241, b0929, b2215"
828,mepn,Methylphosphonic acid,outer,Import and Export,Diffusion,MEPNtex,"b1377, b0241, b0929, b2215"
829,mepn,Methylphosphonic acid,inner,Import,ATP-binding cassette transporter,MEPNabcpp,"b4104, b4105, b4106"
830,o16a4colipa,(O16 antigen)x4 core oligosaccharide lipid A,outer,Export,ATP-binding cassette transporter,O16A4COLIPAabctex,"b3199, b0641, b0054, b3201, b3200, b4261, b4262"
831,enlipa,Phosphoethanolamine KDO(2)-lipid (A),outer,Export,ATP-binding cassette transporter,ENLIPAabctex,"b3199, b0641, b0054, b3201, b3200, b4261, b4262"
